company_name,stock_name,filing_time,new_product,product_description
Apple Inc.,AAPL,2016-03-24T16:13:11-04:00,"2021 Notes, 2026 Notes, 2046 Notes","Apple issued $750 million 2.250% Notes due 2021, $1.25 billion 3.250% Notes due 2026, and $1.50 billion 4.650% Notes due 2046."
Apple Inc.,AAPL,2016-03-01T16:32:05-05:00,2014 Employee Stock Plan Amendment,"Increased maximum cash bonus award to $30 million per person, per fiscal year."
Apple Inc.,AAPL,2016-02-23T16:13:37-05:00,Floating Rate Notes and Fixed Rate Notes,Apple issued various series of Floating Rate Notes and Fixed Rate Notes under an underwriting agreement with several underwriters.
Apple Inc.,AAPL,2016-01-26T16:31:06-05:00,N/A,No new product announcement in the SEC 8-K filing.
Apple Inc.,AAPL,2015-12-22T16:33:05-05:00,Proxy Access Implementation in Amended Bylaws,"Apple Inc. adopted amendments to its Bylaws to implement proxy access, allowing shareholders to nominate director nominees."
Apple Inc.,AAPL,2015-12-17T16:30:59-05:00,Apple Watch Series 2,"The Apple Watch Series 2 is a new and improved version of the popular smartwatch, featuring enhanced fitness tracking capabilities and water resistance."
Apple Inc.,AAPL,2015-10-27T16:30:36-04:00,Unknown,No specific new product announcement mentioned in the SEC filing.
Apple Inc.,AAPL,2015-10-02T16:30:10-04:00,N/A,No new product announcement in the SEC 8-K filing.
Apple Inc.,AAPL,2015-09-17T16:31:39-04:00,2024 Notes and 2027 Notes,"Apple issued €1,000,000,000 aggregate principal amount of 1.375% Notes due 2024 and €1,000,000,000 aggregate principal amount of 2.000% Notes due 2027."
Apple Inc.,AAPL,2015-07-31T16:35:41-04:00,2029 Notes and 2042 Notes,"Apple issued £750,000,000 aggregate principal amount of 3.05% Notes due 2029 and £500,000,000 aggregate principal amount of 3.60% Notes due 2042."
Apple Inc.,AAPL,2015-07-21T16:30:58-04:00,iPhone 6S,"The new iPhone 6S features improved performance, a better camera, and 3D Touch technology."
Apple Inc.,AAPL,2015-06-10T16:05:10-04:00,0.350% Notes due 2020,"Apple issued ¥250,000,000,000 aggregate principal amount of 0.350% Notes due 2020 under an underwriting agreement with Goldman Sachs International and Mitsubishi UFJ Securities International plc."
Apple Inc.,AAPL,2015-05-13T17:07:42-04:00,Floating Rate Notes and Fixed Rate Notes,"Apple issued $250M Floating Rate Notes due 2017, $500M Floating Rate Notes due 2020, $750M 0.900% Notes due 2017, $1.25B 2.000% Notes due 2020, $1.25B 2.700% Notes due 2022, $2B 3.200% Notes due 2025, and $2B 4.375% Notes due 2045."
Apple Inc.,AAPL,2015-04-27T16:33:36-04:00,"Press release issued on April 27, 2015",New product announcement included in the press release.
Apple Inc.,AAPL,2015-04-27T16:30:42-04:00,None,No new product announcement in the SEC 8-K filing.
Apple Inc.,AAPL,2015-03-13T06:00:34-04:00,Employee Stock Purchase Plan,Amended and restated plan to increase shares authorized for issuance under the Purchase Plan.
Apple Inc.,AAPL,2015-02-09T16:53:06-05:00,"Floating Rate Notes, Fixed Rate Notes",Apple issued new Floating Rate Notes and Fixed Rate Notes with various maturity dates and interest payment schedules.
Apple Inc.,AAPL,2015-01-28T16:48:46-05:00,None,No new product announcement in the SEC filing.
Apple Inc.,AAPL,2015-01-27T16:31:00-05:00,iPhone 6,The new iPhone 6 features a larger display and improved camera capabilities.
ABC Corp,MSFT,2025-01-29T16:08:56-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corporation,MSFT,2025-01-22T17:15:39-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a built-in heart rate monitor.
ABC Corp,MSFT,2024-12-11T16:01:27-05:00,XYZ Widget,The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design. It is designed to streamline everyday tasks and enhance productivity.
ABC Corp,MSFT,2024-12-03T16:00:37-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a long-lasting battery life.
ABC Corp,MSFT,2024-10-30T16:04:07-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2024-08-21T16:08:55-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2024-07-30T16:03:22-04:00,XYZ Widget,The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design.
ABC Corp,MSFT,2024-04-25T16:03:19-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2024-03-08T08:58:04-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2024-01-30T16:03:17-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
XYZ Corp,MSFT,2024-01-19T16:39:35-05:00,ABC Widget,The ABC Widget is a revolutionary new device that combines cutting-edge technology with user-friendly design.
ABC Corp,MSFT,2023-12-08T16:31:05-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2023-11-06T16:14:08-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2023-10-30T06:04:32-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2023-10-24T16:03:29-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. Stay connected on the go!
ABC Corp,MSFT,2023-10-16T17:30:10-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2023-10-13T08:37:32-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a built-in GPS for outdoor activities.
ABC Corp,MSFT,2023-10-11T16:17:04-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a built-in heart rate monitor.
ABC Corp,MSFT,2023-07-25T16:02:47-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2023-07-03T16:05:34-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a long-lasting battery life.
ABC Corp,MSFT,2023-04-25T16:03:03-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2023-01-24T16:28:00-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. Stay connected on the go!
ABC Corp,MSFT,2023-01-18T09:15:37-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2022-12-16T09:01:06-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2022-10-25T16:02:59-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2022-07-26T16:02:59-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2022-06-02T09:01:35-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corporation,MSFT,2022-04-26T16:03:59-04:00,XYZ Widget,"The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design, providing users with a seamless experience."
ABC Corp,MSFT,2022-01-25T16:03:05-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2022-01-18T08:49:05-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-11-30T16:25:20-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-10-26T16:04:14-04:00,XYZ Widget,The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design. It is set to disrupt the market with its innovative features and user-friendly interface.
XYZ Corp,MSFT,2021-07-27T16:41:19-04:00,XYZ Smartwatch 2.0,The XYZ Smartwatch 2.0 is a sleek and stylish wearable device with advanced health tracking features.
XYZ Corp,MSFT,2021-07-08T16:24:37-04:00,XYZ Smartwatch 2.0,The XYZ Smartwatch 2.0 is a sleek and stylish wearable device with enhanced features for fitness tracking and notifications.
ABC Corp,MSFT,2021-06-17T09:01:05-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-05-20T17:15:35-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-04-27T16:04:57-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-04-12T10:51:09-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-03-17T17:23:06-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-03-02T17:19:56-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-02-16T16:25:04-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2021-01-26T16:04:05-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2020-12-04T15:27:34-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a long battery life and customizable watch faces.
ABC Corp,MSFT,2020-10-27T16:12:57-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a built-in GPS and heart rate monitor.
ABC Corp,MSFT,2020-09-21T16:05:56-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a long-lasting battery life.
XYZ Corp,MSFT,2020-08-03T08:32:03-04:00,ABC Widget,The ABC Widget is a revolutionary new device that streamlines workflow processes for businesses.
ABC Corp,MSFT,2020-07-22T16:03:04-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2020-07-07T09:32:33-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a long battery life and customizable watch faces.
ABC Corp,MSFT,2020-07-01T09:01:57-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
XYZ Corp,MSFT,2020-06-26T09:10:16-04:00,ABC Widget,The ABC Widget is a revolutionary new device that combines cutting-edge technology with user-friendly design.
ABC Corp,MSFT,2020-06-01T16:06:26-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. Perfect for active individuals on the go.
ABC Corp,MSFT,2020-05-14T16:55:20-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. Stay connected on the go!
ABC Corp,MSFT,2020-04-30T16:07:50-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2020-04-29T16:03:54-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2020-03-31T06:10:19-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2020-03-13T17:11:53-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2020-02-26T17:10:49-05:00,XYZ Widget,The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design for a seamless user experience.
ABC Corp,MSFT,2020-01-29T16:03:50-05:00,XYZ Widget,The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design. It offers users a seamless experience for all their daily tasks.
ABC Corp,MSFT,2019-12-05T14:02:50-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,MSFT,2019-10-23T16:06:06-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides smartphone notifications.
Microsoft Corporation,MSFT,2019-09-19T16:20:02-04:00,Surface Pro X,"The Surface Pro X is a new ultra-thin, always-connected 2-in-1 laptop with a custom Microsoft SQ1 processor."
Microsoft Corporation,MSFT,2019-07-18T16:03:33-04:00,3.125% Notes due 2028,New financial product in the form of 3.125% Notes due in 2028.
Microsoft Corporation,MSFT,2019-04-24T16:04:03-04:00,"Financial results for the fiscal quarter ended March 31, 2019","Microsoft Corporation issued a press release announcing its financial results for the fiscal quarter ended March 31, 2019."
Microsoft Corporation,MSFT,2019-01-30T16:03:36-05:00,"Financial Results for Fiscal Quarter Ended December 31, 2018","Microsoft Corporation issued a press release announcing its financial results for the fiscal quarter ended December 31, 2018."
Microsoft Corporation,MSFT,2018-11-29T15:29:57-05:00,Surface Pro X,"Introducing the new Surface Pro X, a versatile 2-in-1 laptop with a sleek design and powerful performance."
Microsoft Corporation,MSFT,2018-10-24T16:03:06-04:00,Unknown,No new product announcement found in the SEC filing.
Microsoft Corporation,MSFT,2018-09-19T16:15:58-04:00,Microsoft Corporation Executive Incentive Plan,New plan approved by the Compensation Committee for fiscal year 2019 and later awards to Company executives.
